-90	0	-999.99	-999.99	-999.99	0	90	9.51E-28	98.42	1.24E-09	178.7
-85	0	-178.24	-3.71	-3.71	0	-90	3.90E-08	-108.86	2.08E+01	-1.33
-80	0	-165.48	1.7	1.7	0	-90	1.69E-07	-120.13	3.87E+01	-1.42
-75	0	-158.63	4.11	4.11	0	-90	3.73E-07	-161.12	5.11E+01	-1.61
-70	0	-154.18	4.79	4.79	0	-90	6.22E-07	-162.1	5.52E+01	-1.96
-65	0	-148.68	3.96	3.96	0	90	1.17E-06	28.65	5.02E+01	-2.61
-60	0	-173.58	1.63	1.63	0	-90	6.67E-08	-129.78	3.84E+01	-3.87
-55	0	-147.7	-1.58	-1.58	0	90	1.31E-06	23.86	2.65E+01	-5.91
-50	0	-152.04	-2.28	-2.28	0	-90	7.96E-07	-144.34	2.45E+01	-6.2
-45	0	-160.46	2.07	2.07	0	90	3.02E-07	-84.38	4.04E+01	-3.25
-40	0	-162.62	7.27	7.27	0	-90	2.35E-07	-171.26	7.35E+01	-1.32
-35	0	-149.39	10.79	10.79	0	90	1.08E-06	4.88	1.10E+02	-0.52
-30	0	-155.29	12.2	12.2	0	-90	5.48E-07	152.13	1.30E+02	-0.18
-25	0	-146.34	11.37	11.37	0	-90	1.53E-06	-158.03	1.18E+02	-0.02
-20	0	-148.95	7.99	7.99	0	-90	1.14E-06	-143.45	7.99E+01	0.03
-15	0	-154.79	1.33	1.33	0	-90	5.80E-07	165.65	3.71E+01	-0.03
-10	0	-152.94	-10.42	-10.42	0	-90	7.18E-07	179.11	9.60E+00	-0.51
-5	0	-144.37	-33.24	-33.24	0	-90	1.92E-06	-148.39	6.94E-01	-7.62
0	0	-143.7	-53.16	-53.16	0.00003	-90	2.08E-06	27.85	7.00E-02	-75.97
-90	5	-999.99	-999.99	-999.99	0	0	4.70E-22	-12.63	1.05E-09	167.37
-85	5	-47.49	-5.13	-5.13	0	89.56	1.34E-01	-12.88	1.76E+01	-12.88
-80	5	-36.04	0.33	0.33	0	89.13	5.02E-01	-13.81	3.31E+01	-13.81
-75	5	-30.09	2.82	2.82	0	88.7	9.97E-01	-15.83	4.40E+01	-15.83
-70	5	-26.8	3.68	3.69	0	88.29	1.46E+00	-19.82	4.86E+01	-19.82
-65	5	-25.34	3.3	3.31	0	87.88	1.72E+00	-27.25	4.66E+01	-27.25
-60	5	-25.09	2.09	2.1	0	87.5	1.77E+00	-39.48	4.05E+01	-39.48
-55	5	-25.13	0.86	0.87	0	87.13	1.76E+00	-52.47	3.51E+01	-52.47
-50	5	-24.86	0.14	0.16	0	86.78	1.82E+00	-50.03	3.24E+01	-50.03
-45	5	-22.31	1.86	1.88	0	86.46	2.44E+00	-21.3	3.94E+01	-21.3
-40	5	-16.83	6.65	6.67	0	86.17	4.59E+00	2.35	6.84E+01	2.35
-35	5	-12.51	10.38	10.41	0	85.9	7.54E+00	11.74	1.05E+02	11.74
-30	5	-10.47	11.94	11.97	0	85.67	9.54E+00	15.54	1.26E+02	15.54
-25	5	-10.82	11.19	11.22	0	85.47	9.16E+00	17.29	1.16E+02	17.29
-20	5	-13.84	7.86	7.89	0	85.3	6.47E+00	18.14	7.87E+01	18.14
-15	5	-20.24	1.22	1.25	0	85.17	3.10E+00	18.46	3.66E+01	18.46
-10	5	-31.84	-10.54	-10.51	0	85.08	8.15E-01	17.99	9.46E+00	17.99
-5	5	-54.8	-33.61	-33.57	0	85.02	5.79E-02	9.41	6.65E-01	9.41
0	5	-74.35	-53.19	-53.16	0.00003	85	6.10E-03	-75.95	6.97E-02	-75.97
-90	10	-999.99	-999.99	-999.99	0	0	5.21E-22	-17.23	5.79E-10	162.77
-85	10	-46.54	-10.27	-10.27	0	89.12	1.50E-01	-18.08	9.76E+00	-18.08
-80	10	-34.93	-4.65	-4.65	0	88.25	5.71E-01	-20.97	1.86E+01	-20.97
-75	10	-28.63	-1.82	-1.81	0	87.39	1.18E+00	-26.84	2.58E+01	-26.84
-70	10	-24.61	-0.22	-0.21	0	86.55	1.87E+00	-37.01	3.10E+01	-37.01
-65	10	-21.63	0.92	0.95	0	85.74	2.64E+00	-51.7	3.54E+01	-51.7
