-90	0	-999.99	-999.99	-999.99	0	0	4.80E-24	180	1.17E-11	157.14
-89	0	-155.69	-59.49	-59.49	0.00001	90	5.61E-07	0	3.62E-02	-25.36
-88	0	-159.8	-56.51	-56.51	0	-90	3.50E-07	180	5.11E-02	-36.92
-87	0	-147.61	-57.58	-57.58	0.00003	90	1.42E-06	180	4.52E-02	-90.13
-86	0	-146.2	-48.5	-48.5	0.00001	-90	1.67E-06	0	1.28E-01	-152.83
-85	0	-154.11	-40.24	-40.24	0	-90	6.73E-07	0	3.32E-01	-167.72
-84	0	-141.3	-34.28	-34.28	0	90	2.94E-06	180	6.60E-01	-172.94
-83	0	-140.68	-29.61	-29.61	0	-90	3.16E-06	0	1.13E+00	-175.45
-82	0	-144.87	-25.75	-25.75	0	90	1.95E-06	180	1.76E+00	-176.89
-81	0	-153.15	-22.46	-22.46	0	-90	7.52E-07	0	2.57E+00	-177.79
-80	0	-157.4	-19.59	-19.59	0	90	4.61E-07	180	3.58E+00	-178.4
-79	0	-147.28	-17.04	-17.04	0	-90	1.48E-06	0	4.81E+00	-178.83
-78	0	-139.49	-14.75	-14.75	0	90	3.62E-06	180	6.25E+00	-179.15
-77	0	-137.35	-12.68	-12.68	0	-90	4.64E-06	0	7.93E+00	-179.4
-76	0	-162.79	-10.8	-10.8	0	90	2.48E-07	180	9.85E+00	-179.59
-75	0	-137.35	-9.08	-9.08	0	90	4.64E-06	180	1.20E+01	-179.74
-74	0	-141.56	-7.5	-7.5	0	90	2.85E-06	180	1.44E+01	-179.86
-73	0	-152.89	-6.05	-6.05	0	90	7.74E-07	180	1.70E+01	-179.96
-72	0	-153.4	-4.71	-4.71	0	90	7.30E-07	180	1.99E+01	179.95
-71	0	-142.86	-3.47	-3.47	0	90	2.46E-06	180	2.29E+01	179.88
-70	0	-140.28	-2.33	-2.33	0	90	3.31E-06	180	2.61E+01	179.82
-69	0	-150.35	-1.29	-1.29	0	-90	1.04E-06	0	2.95E+01	179.77
-68	0	-149.03	-0.32	-0.32	0	-90	1.21E-06	0	3.29E+01	179.72
-67	0	-148.15	0.55	0.55	0	90	1.34E-06	180	3.64E+01	179.67
-66	0	-160.4	1.35	1.35	0	-90	3.26E-07	0	3.99E+01	179.64
-65	0	-151.05	2.07	2.07	0	-90	9.58E-07	0	4.34E+01	179.6
-64	0	-166.55	2.72	2.72	0	90	1.61E-07	180	4.67E+01	179.56
-63	0	-171.14	3.28	3.28	0	90	9.48E-08	180	4.99E+01	179.53
-62	0	-167.69	3.77	3.77	0	-90	1.41E-07	0	5.27E+01	179.49
-61	0	-155.59	4.18	4.18	0	90	5.68E-07	180	5.53E+01	179.46
-60	0	-154.93	4.51	4.51	0	90	6.12E-07	180	5.74E+01	179.42
-59	0	-148.42	4.75	4.75	0	-90	1.30E-06	0	5.90E+01	179.38
-58	0	-156.34	4.9	4.9	0	90	5.20E-07	180	6.01E+01	179.33
-57	0	-142.62	4.96	4.96	0	90	2.53E-06	180	6.05E+01	179.28
-56	0	-147.06	4.92	4.92	0	90	1.52E-06	180	6.02E+01	179.23
-55	0	-143.28	4.77	4.77	0	90	2.34E-06	180	5.92E+01	179.16
-54	0	-140.07	4.5	4.5	0	90	3.39E-06	180	5.74E+01	179.08
-53	0	-139.71	4.1	4.1	0	-90	3.53E-06	0	5.47E+01	178.99
-52	0	-138.68	3.53	3.53	0	90	3.98E-06	180	5.13E+01	178.87
-51	0	-141.51	2.79	2.79	0	-90	2.87E-06	0	4.71E+01	178.71
-50	0	-137.48	1.81	1.81	0	-90	4.57E-06	0	4.21E+01	178.51
-49	0	-137.57	0.56	0.56	0	-90	4.52E-06	0	3.64E+01	178.22
-48	0	-159.47	-1.07	-1.07	0	90	3.63E-07	180	3.02E+01	177.79
-47	0	-143.06	-3.25	-3.25	0	90	2.40E-06	180	2.35E+01	177.1
-46	0	-163.29	-6.32	-6.32	0	90	2.34E-07	180	1.65E+01	175.8
-45	0	-137.4	-11.25	-11.25	0	-90	4.61E-06	0	9.36E+00	172.49
-44	0	-137.3	-22.79	-22.79	0	-90	4.66E-06	0	2.48E+00	150.17
-43	0	-146.08	-16.89	-16.89	0	90	1.70E-06	0	4.89E+00	14.64
-42	0	-138.41	-9.68	-9.68	0	-90	4.10E-06	180	1.12E+01	6.31
-41	0	-142.07	-6.12	-6.12	0	90	2.69E-06	0	1.69E+01	4.15
-40	0	-139.27	-3.95	-3.95	0	90	3.72E-06	0	2.17E+01	3.19
-39	0	-139.81	-2.59	-2.59	0	90	3.49E-06	0	2.54E+01	2.67
